id,question,answer1,answer2,answer3,answer4,correctAnswer,explanation,signId,image,chapter,isFailingPoint,otomotoExplanation,isHard,isSaved,questionStatus
1,Phần của đường bộ được sử dụng cho các phương tiện giao thông qua lại là gì?,Phần mặt đường và lề đường.,Phần đường xe chạy.,Phần đường xe cơ giới.,,2,Phần đường xe chạy là phần của đường bộ được sử dụng cho phương tiện giao thông qua lại.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, phần đường xe chạy là phần của đường bộ được sử dụng cho phương tiện giao thông qua lại. Lề đường không được sử dụng cho các phương tiện giao thông qua lại.",1,,
2,"""Làn đường"" là gì?","Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy.","Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có bề rộng đủ cho xe chạy an toàn.","Là đường cho xe ô tô chạy, dừng, đỗ an toàn.",,2,Làn đường có bề rộng đủ cho xe chạy an toàn.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, làn đường là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có bề rộng đủ cho xe chạy an toàn.",1,,
3,"Khái niệm ""Khổ giới hạn đường bộ"" được hiểu như thế nào là đúng?","Là khoảng trống có kích thước giới hạn về chiều cao, chiều rộng của đường, cầu, bến phà, hầm đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.","Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.","Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.",,1,"Khổ giới hạn đường bộ có giới hạn về chiều cao, chiều rộng.",,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, khổ giới hạn của đường bộ là khoảng trống có kích thước giới hạn về chiều cao, chiều rộng của đường, cầu, bến phà, hầm đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.",1,,
4,"Trong các khái niệm dưới đây, ""dải phân cách"" được hiểu như thế nào là đúng?",Là bộ phận của đường để ngăn cách không cho các loại xe vào những nơi không được phép.,Là bộ phận của đường để phân tách phần đường xe chạy và hành lang an toàn giao thông.,Là bộ phận của đường để phân chia mặt đường thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường của xe cơ giới và xe thô sơ.,,3,Dải phân cách phân chia mặt đường thành hai chiều xe riêng biệt.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, dải phân cách là bộ phận của đường để phân chia mặt đường thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường của xe cơ giới và xe thô sơ. Dải phân cách gồm loại cố định và loại di động.",1,,
5,"""Dải phân cách"" trên đường bộ gồm những loại nào?",Dải phân cách gồm loại cố định và loại di động.,"Dải phân cách gồm tường chống ồn, hộ lan cứng và hộ lan mềm.",Dải phân cách gồm giá long môn và biển báo hiệu đường bộ.,,1,Dải phân cách gồm cố định và di động.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, dải phân cách gồm loại cố định và loại di động.",,,
6,Người lái xe được hiểu như thế nào trong các khái niệm dưới đây?,Là người điều khiển xe cơ giới,Là người điều khiển xe thô sơ.,Là người điều khiển xe có súc vật kéo.,,1,Người lái xe là người điều khiển xe cơ giới.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, người lái xe là người điều khiển xe cơ giới.",,,
7,"Đường mà trên đó phương tiện tham gia giao thông được các phương tiện giao thông đến từ hướng khác nhường đường khi qua nơi đường giao nhau, được cắm biển báo hiệu đường ưu tiên là loại đường gì?",Đường không ưu tiên.,Đường tỉnh lộ.,Đường quốc lộ.,Đường ưu tiên.,4,Đường ưu tiên được nhường đường khi qua nơi giao nhau.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, đường ưu tiên là đường mà trên đó phương tiện tham gia giao thông đường bộ được các phương tiện giao thông đến từ hướng khác nhường đường khi qua nơi đường giao nhau, được cắm biển báo hiệu đường ưu tiên.",,,
8,"Khái niệm ""phương tiện giao thông cơ giới đường bộ"" được hiểu thế nào là đúng?",Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.,"Gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.",,,2,Phương tiện giao thông cơ giới không có xe máy chuyên dùng.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, phương tiện giao thông cơ giới đường bộ gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.
Chú ý KHÔNG có xe máy chuyên dùng. Xe máy chuyên dùng gồm xe máy thi công, xe máy nông nghiệp, lâm nghiệp và các loại xe đặc chủng khác sử dụng vào mục đích quốc phòng, an ninh có tham gia giao thông đường bộ.",1,,
9,"Khái niệm ""phương tiện giao thông thô sơ đường bộ"" được hiểu thế nào là đúng?","Gồm xe đạp kể cả xe đạp máy, xe đạp điện, xe xích lô, xe lăn dùng cho người khuyết tật, xe súc vật kéo và các loại xe tương tự.","Gồm xe đạp kể cả xe đạp máy, xe đạp điện, xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.","Gồm xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.",,1,Phương tiện giao thông thô sơ không có xe máy chuyên dùng; xe ô tô.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, phương tiện giao thông thô sơ đường bộ (sau đây gọi là xe thô sơ) gồm xe đạp (kể cả xe đạp máy), xe xích lô, xe lăn dùng cho người khuyết tật, xe súc vật kéo và các loại xe tương tự.
Chú ý KHÔNG có xe máy chuyên dùng và xe ô tô.",1,,
10,"""Phương tiện tham gia giao thông đường bộ"" gồm những loại nào?",Phương tiện giao thông cơ giới đường bộ.,Phương tiện giao thông thô sơ đường bộ và xe máy chuyên dùng.,Cả ý 1 và ý 2.,,3,Phương tiện giao thông gồm tất cả các loại phương tiện.,,,1,,"Theo luật giao thông đường bộ, phương tiện giao thông gồm tất cả các loại phương tiện.
Mẹo ghi nhớ: Xe nào có chạy trên đường thì đều coi là phương triện tham gia giao thông.",,,
11,"""Người tham gia giao thông đường bộ"" gồm những đối tượng nào?","Người điều khiển, người sử dụng phương tiện tham gia giao thông đường bộ.","Người điều khiển, dẫn dắt súc vật; người đi bộ trên đường bộ.",Cả ý 1 và ý 2.,,3,Người tham gia giao thông gồm người sử dụng phương tiện và người đi bộ.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, người tham gia giao thông gồm người điều khiển, người sử dụng phương tiện tham gia giao thông đường bộ; người điều khiển, dẫn dắt súc vật; người đi bộ trên đường bộ.",,,
12,"""Người điều khiển phương tiện tham gia giao thông đường bộ"" gồm những đối tượng nào dưới đây?","Người điều khiển xe cơ giới, người điều khiển xe thô sơ.",Người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ.,Cả ý 1 và ý 2,,3,Người điều khiển phương tiện gồm cả xe cơ giới và xe máy chuyên dùng.,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, người điều khiển phương tiện gồm người điều khiển xe cơ giới, xe thô sơ, xe máy chuyên dùng tham gia giao thông đường bộ.",,,
13,"Khái niệm ""người điều khiển giao thông"" được hiểu như thế nào là đúng?","Là người điều khiển phương tiện tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.","Là cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.","Là người tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.",,2,Người điều khiển giao thông là cảnh sát giao thông,,,1,,"Theo luật giao thông đường bộ, phần GIẢI THÍCH TỪ NGỮ, người điều khiển giao thông là cảnh sát giao thông; người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.",,,
14,"Trong các khái niệm dưới đây khái niệm ""dừng xe"" được hiểu như thế nào là đúng?","Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.","Là trạng thái đứng yên tạm thời của phương tiện giao thông trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian giữa 02 lần vận chuyển hàng hóa hoặc hành khách.,,2,Dừng xe là đứng yên tạm thời.,,,1,,"Theo luật giao thông đường bộ, điều 18, dừng xe là trạng thái đứng yên tạm thời của phương tiện giao thông trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",,,
15,"Khái niệm ""đỗ xe"" được hiểu như thế nào là đúng quy tắc giao thông?","Là trạng thái đứng yên của phương tiện giao thông có giới hạn trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện đó, xếp dỡ hàng hóa hoặc thực hiện công việc khác.",Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian.,,,2,Đỗ xe là đứng yên không giới hạn thời gian.,,,1,,"Theo luật giao thông đường bộ, điều 18, đỗ xe là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian.",1,,
16,"Khái niệm ""đường cao tốc"" được hiểu như thế nào là đúng?",Đường dành riêng cho xe ôtô và một số loại xe chuyên dùng được phép đi vào theo quy định của Luật Giao thông đường bộ.,Có dải phân cách phân chia đường cho xe chạy hai chiều riêng biệt mà dải phân cách này xe không đi được lên trên; không giao nhau cùng mức với một hoặc một số đường khác.,"Được bố trí đầy đủ trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình và chỉ cho xe ra, vào ở những điểm nhất định.",Tất cả các ý trên.,4,Đường cao tốc gồm tất cả các ý.,,,1,,"Theo luật giao thông đường bộ, điều 3, Đường cao tốc là đường dành cho xe cơ giới, có dải phân cách chia đường cho xe chạy hai chiều riêng biệt; không giao nhau cùng mức với một hoặc các đường khác; được bố trí đầy đủ trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình và chỉ cho xe ra, vào ở những điểm nhất định.",,,
17,Hành vi nào dưới đây bị nghiêm cấm?,Đỗ xe trên đường phố,Sử dụng xe đạp đi trên các tuyến quốc lộ có tốc độ cao.,"Làm hỏng cố ý cọc tiêu, gương cầu, dải phân cách.",Sử dụng còi và quay đầu xe trong khu dân cư.,3,Hành vi làm hỏng cọc tiêu bị nghiêm cấm.,,,1,1,"Hành vi phá hoại tài sản như cọc tiêu, gương cầu,... bị nghiêm cấm.",,,
18,"Hành vi đưa xe cơ giới, xe máy chuyên dùng không bảo đảm tiêu chuẩn an toàn kỹ thuật và bảo vệ môi trường vào tham gia giao thông đường bộ có bị nghiêm cấm hay không?",Không nghiêm cấm.,Bị nghiêm cấm.,Bị nghiêm cấm tùy theo các tuyến đường.,Bị nghiêm cấm tuỳ theo loại xe.,2,Hành vi đưa xe không đảm bảo an toàn kỹ thuật bị nghiêm cấm.,,,1,1,Hành vi đưa phương tiện không đảm bảo tiêu chuẩn an toàn kỹ thuật và bảo vệ môi trường vào tham gia giao thông bị nghiêm cấm.,,,
19,Cuộc đua xe chỉ được thực hiện khi nào?,Diễn ra trên đường phố không có người qua lại.,Được người dân ủng hộ.,Được cơ quan có thẩm quyền cấp phép.,,3,Cuộc đua xe cần cấp phép.,,,1,1,"Cuộc đua xe bắt buộc phải được cơ quan có thẩm quyền cấp phép, và phải được tổ chức đúng nơi quy định.",,,
20,Người điều khiển phương tiện giao thông đường bộ mà trong cơ thể có chất ma túy có bị nghiêm cấm hay không?,Bị nghiêm cấm.,Không bị nghiêm cấm.,"Không bị nghiêm cấm, nếu có chất ma túy ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.",,1,Có ma tuý bị nghiêm cấm.,,,1,1,"Sử dụng ma tuý, rượu bia là tuyệt đối bị cấm tham gia giao thông.",,,
